9.4479,2.3159,9.5068
4.9086,4.889,1.5546
4.8925,6.2406,-0.74223
3.3772,6.7914,-4.2343
9.0005,3.9552,10.452
3.6925,3.6744,-1.7088
1.112,9.8798,-12.385
7.8025,0.37739,12.375
3.8974,8.8517,-4.459
2.4169,9.1329,-9.5803
4.0391,7.9618,-6.0869
0.96455,0.98712,-3.6293
1.3197,2.6187,-3.7652
9.4205,3.3536,12.43
9.5613,6.7973,8.4191
5.7521,1.3655,5.0163
0.5978,7.2123,-9.7105
2.3478,1.0676,-1.5444
3.5316,6.5376,-4.4354
8.2119,4.9417,6.8284
0.15403,7.7905,-12.712
0.43024,7.1504,-10.561
1.6899,9.0372,-10.557
6.4912,8.9092,-0.2126
7.3172,3.3416,6.8304
6.4775,6.9875,1.5577
4.5092,1.9781,2.5368
5.4701,0.30541,7.8681
2.9632,7.4407,-4.904
7.4469,5.0002,5.9527
1.8896,4.7992,-6.4871
6.8678,9.0472,-0.93752
1.8351,6.0987,-8.3932
3.6848,6.1767,-0.20178
6.2562,8.5944,0.89032
7.8023,8.0549,3.8066
0.81126,5.7672,-9.1189
9.2939,1.8292,11.612
7.7571,2.3993,9.6626
4.8679,8.8651,-1.5642
4.3586,0.28674,2.7371
4.4678,4.899,-0.41274
3.0635,1.6793,0.36343
5.0851,9.7868,-5.6086
5.1077,7.1269,-0.070268
8.1763,5.0047,6.9332
7.9483,4.7109,9.0979
6.4432,0.59619,7.8993
3.7861,6.8197,-2.8383
8.1158,0.42431,10.665
5.3283,0.71445,5.3172
3.5073,5.2165,-3.3707
9.39,0.9673,14.205
8.7594,8.1815,6.6392
5.5016,8.1755,-1.766
6.2248,7.2244,1.6615
5.8704,1.4987,5.7379
2.0774,6.5961,-6.3391
3.0125,5.1859,-1.9648
4.7092,9.7297,-4.191
2.3049,6.4899,-6.917
8.4431,8.0033,4.0258
1.9476,4.538,-4.8126
2.2592,4.3239,-3.9971
1.7071,8.2531,-9.7048
2.2766,0.8347,-0.10075
4.357,1.3317,4.6488
3.111,1.7339,0.23699
9.2338,3.9094,10.354
4.3021,8.3138,-5.9112
1.8482,8.0336,-9.1118
9.0488,0.60471,12.1
9.7975,3.9926,11.216
4.3887,5.2688,0.034228
1.1112,4.168,-4.4223
2.5806,6.5686,-3.6088
4.0872,6.2797,-2.2222
5.949,2.9198,4.6579
2.6221,4.3165,-2.2548
6.0284,0.15487,8.3921
7.1122,9.8406,1.1489
2.2175,1.6717,-0.45847
1.1742,1.0622,-4.1941
2.9668,3.7241,-1.2502
3.1878,1.9812,0.30284
4.2417,4.8969,-1.1738
5.0786,3.3949,2.0686
0.85516,9.5163,-10.525
2.6248,9.2033,-8.7634
8.0101,0.52677,10.257
0.2922,7.3786,-10.579
9.2885,2.6912,13.897
7.3033,4.2284,6.4038
4.8861,5.4787,0.60177
5.7853,9.4274,-2.7951
2.3728,4.1774,-1.7576
4.5885,9.8305,-4.5286
9.6309,3.0145,12.777
5.4681,7.011,-1.0269
5.2114,6.6634,0.61337
